127.0.0.1 - - [01/Dec/2023:22:06:54 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:06:56 +0700] "GET /LTW/trangChu.jsp HTTP/1.1" 200 15006
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:06:56 +0700] "GET /LTW/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:26:29 +0700] "GET /LTW/trangChu.jsp HTTP/1.1" 200 15006
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:26:30 +0700] "GET /LTW/trangChu.jsp HTTP/1.1" 200 15006
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:26:41 +0700] "GET /LTW/trangChu.jsp HTTP/1.1" 200 15006
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:26:42 +0700] "GET /LTW/trangChu.jsp HTTP/1.1" 200 15006
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:26:43 +0700] "GET /LTW/trangChu.jsp HTTP/1.1" 200 15006
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:26:50 +0700] "GET /LTW/trangChu.jsp HTTP/1.1" 200 15006
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:26:54 +0700] "GET /LTW/css/main.css HTTP/1.1" 200 3785
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:26:55 +0700] "GET /LTW/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:26:56 +0700] "GET /LTW/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:26:56 +0700] "GET /LTW/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:26:56 +0700] "GET /LTW/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:26:56 +0700] "GET /LTW/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:27:05 +0700] "GET /LTW/trangChu.jsp HTTP/1.1" 200 15006
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:27:05 +0700] "GET /LTW/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:27:49 +0700] "GET /LTW/trangChu.jsp HTTP/1.1" 200 15006
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:27:49 +0700] "GET /LTW/css/main.css HTTP/1.1" 200 3796
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:27:50 +0700] "GET /LTW/trangChu.jsp HTTP/1.1" 200 15006
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:27:50 +0700] "GET /LTW/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:27:51 +0700] "GET /LTW/trangChu.jsp HTTP/1.1" 200 15006
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:27:51 +0700] "GET /LTW/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:27:51 +0700] "GET /LTW/trangChu.jsp HTTP/1.1" 200 15006
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:27:51 +0700] "GET /LTW/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:27:53 +0700] "GET /LTW/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:28:21 +0700] "GET /LTW/trangChu.jsp HTTP/1.1" 200 15006
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:28:21 +0700] "GET /LTW/css/main.css HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:31:32 +0700] "GET /LTW/dangKy.jsp HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:31:32 +0700] "GET /LTW/css/dangKy.css HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:31:35 +0700] "GET /LTW/trangChu.jsp HTTP/1.1" 200 15006
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:31:35 +0700] "GET /LTW/css/main.css HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:33:22 +0700] "GET /LTW/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:22:36:38 +0700] "GET /LTW/trangChu.jsp HTTP/1.1" 200 15006
